ID,Date,Time,AM/PM,Count,dB,Freeway Distance,Water Distance,Location,Animals,House in Sight,Notes,Temp,session_id,lat,lon,Trail Name
1,6/17/2026,7:26,AM,10,45,1129.190510662419,103.82253671930394,Entrance,None,Y,Frogs? / Parking lot ,55,S01,41.01111,-80.61784,Parkway Drive
2,6/17/2026,7:34,AM,10,43,1011.0387222713491,16.51439541758293,Main Path,2 Squirrels,N,,56,S02,41.0118,-80.61926,Bluebell Trail
3,6/18/2026,6:23,AM,8,48,756.1981273695213,23.902718777006577,Side Trail,None,N,,60,S03,41.01396,-80.62226,Log Cabin Trail
4,6/18/2026,6:32,AM,5,50,542.5236792851257,43.42003355186584,Main Path,None,N,,60,S04,41.01421,-80.62478,Butler Trail
5,6/18/2026,6:39,AM,6,50,590.7139193672032,61.458779737288175,Side Trail,"2 Deer, 1 Squirrel",N,,61,S05,41.01269,-80.62428,South Pine Trail
6,6/19/2026,8:02,AM,11,53,440.57546662673974,21.536258297915058,Side Trail,None,N,Swampy (Full of Eastern Skunk Cabbage),61,S06,41.01429,-80.62599,Beaver Dam Trail
7,6/19/2026,8:13,AM,4,52,162.31556252572236,3.5494676700499106,Side Trail,None,N,On creek / Can see freeway,61,S07,41.01538,-80.62909,Beaver Dam Trail
8,6/20/2026,6:00,AM,2,70,84.34912743463772,144.5103038697209,Main Path,None,N,At freeway / bad data bc freeway noise?,59,S08,41.01742,-80.62918,Lower McKinley Trail
9,6/20/2026,6:10,AM,11,52,388.0952595112655,39.27106225793999,Main Path,None,N,On stream,59,S09,41.01693,-80.62547,Lower McKinley Trail
10,6/21/2026,7:10,AM,10,50,507.8093836324288,125.10468258412803,Side Trail,Crickets,Y,Crickets chirping / Tall grass field,52,S10,41.01668,-80.62401,Gutknecht Trail
11,6/21/2026,7:20,AM,15,51,664.3667435391083,36.463592952194915,Main Path,None,N,Birds seen in flight / Plane overhead,52,S11,41.01607,-80.62232,Upper McKinley
12,6/22/2026,7:43,AM,14,47,849.3934356378313,119.44751435195812,Entrance,None,Y,Parking Lot,50,S12,41.01645,-80.61939,College Lane
13,6/22/2026,7:51,AM,12,58,1030.8849831222242,8.699571600440114,Side Trail,None,Y,Stack of logs,51,S13,41.01557,-80.61757,Manor Trail
14,6/23/2026,6:50,AM,12,46,923.3529701136226,11.209944668653588,Main Path,2 People,N,,55,S14,41.0126,-80.62032,Big Willow Trail
15,6/23/2026,7:00,AM,10,44,946.0515002173804,12.514223587161222,Side Trail,"1 Squirrel, 1 Biker",Y,Lots of bugs,55,S15,41.00932,-80.61998,Thatcher Trail
