session_id,date,time,location_name,zone,lat,lon,photo,notes,richness,cardinal,birds,dist_water_m,dist_freeway_m
S01,6/17/2026,07:26:00,NA,NA,41.01111,-80.61784,NA,time approximate (header not captured; ~10 min before S02),10,1,<a href='https://www.allaboutbirds.org/guide/American_Crow' target='_blank'>American Crow</a><br><a href='https://www.allaboutbirds.org/guide/American_Robin' target='_blank'>American Robin</a><br><a href='https://www.allaboutbirds.org/guide/Carolina_Wren' target='_blank'>Carolina Wren</a><br><a href='https://www.allaboutbirds.org/guide/Black-capped_Chickadee' target='_blank'>Chickadee Species.</a><br><a href='https://www.allaboutbirds.org/guide/Chipping_Sparrow' target='_blank'>Chipping Sparrow</a><br><a href='https://www.allaboutbirds.org/guide/Mourning_Dove' target='_blank'>Mourning Dove</a><br><a href='https://www.allaboutbirds.org/guide/Northern_Cardinal' target='_blank'>Northern Cardinal</a><br><a href='https://www.allaboutbirds.org/guide/Red-bellied_Woodpecker' target='_blank'>Red-bellied Woodpecker</a><br><a href='https://www.allaboutbirds.org/guide/Scarlet_Tanager' target='_blank'>Scarlet Tanager</a><br><a href='https://www.allaboutbirds.org/guide/Tufted_Titmouse' target='_blank'>Tufted Titmouse</a>,103.82253671930394,1129.190510662419
S02,6/17/2026,07:34:00,NA,NA,41.0118,-80.61926,NA,NA,10,1,<a href='https://www.allaboutbirds.org/guide/Acadian_Flycatcher' target='_blank'>Acadian Flycatcher</a><br><a href='https://www.allaboutbirds.org/guide/American_Robin' target='_blank'>American Robin</a><br><a href='https://www.allaboutbirds.org/guide/Brown_Creeper' target='_blank'>Brown Creeper</a><br><a href='https://www.allaboutbirds.org/guide/Black-capped_Chickadee' target='_blank'>Chickadee Species.</a><br><a href='https://www.allaboutbirds.org/guide/Downy_Woodpecker' target='_blank'>Downy Woodpecker</a><br><a href='https://www.allaboutbirds.org/guide/Eastern_Wood-Pewee' target='_blank'>Eastern Wood-Pewee</a><br><a href='https://www.allaboutbirds.org/guide/Northern_Cardinal' target='_blank'>Northern Cardinal</a><br><a href='https://www.allaboutbirds.org/guide/Red-eyed_Vireo' target='_blank'>Red-eyed Vireo</a><br><a href='https://www.allaboutbirds.org/guide/Scarlet_Tanager' target='_blank'>Scarlet Tanager</a><br><a href='https://www.allaboutbirds.org/guide/Tufted_Titmouse' target='_blank'>Tufted Titmouse</a>,16.51439541758293,1011.0387222713491
S03,6/18/2026,06:23:00,NA,NA,41.01396,-80.62226,NA,interior forest; habitat photo on file,8,1,<a href='https://www.allaboutbirds.org/guide/Acadian_Flycatcher' target='_blank'>Acadian Flycatcher</a><br><a href='https://www.allaboutbirds.org/guide/American_Goldfinch' target='_blank'>American Goldfinch</a><br><a href='https://www.allaboutbirds.org/guide/Blue-headed_Vireo' target='_blank'>Blue-headed Vireo</a><br><a href='https://www.allaboutbirds.org/guide/Eastern_Wood-Pewee' target='_blank'>Eastern Wood-Pewee</a><br><a href='https://www.allaboutbirds.org/guide/Northern_Cardinal' target='_blank'>Northern Cardinal</a><br><a href='https://www.allaboutbirds.org/guide/Red-eyed_Vireo' target='_blank'>Red-eyed Vireo</a><br><a href='https://www.allaboutbirds.org/guide/Wood_Thrush' target='_blank'>Wood Thrush</a><br><a href='https://www.allaboutbirds.org/guide/Yellow-throated_Vireo' target='_blank'>Yellow-throated Vireo</a>,23.902718777006577,756.1981273695213
S04,6/18/2026,06:32:00,NA,NA,41.01421,-80.62478,NA,NA,5,0,<a href='https://www.allaboutbirds.org/guide/Acadian_Flycatcher' target='_blank'>Acadian Flycatcher</a><br><a href='https://www.allaboutbirds.org/guide/American_Goldfinch' target='_blank'>American Goldfinch</a><br><a href='https://www.allaboutbirds.org/guide/Eastern_Wood-Pewee' target='_blank'>Eastern Wood-Pewee</a><br><a href='https://www.allaboutbirds.org/guide/Red-eyed_Vireo' target='_blank'>Red-eyed Vireo</a><br><a href='https://www.allaboutbirds.org/guide/Tufted_Titmouse' target='_blank'>Tufted Titmouse</a>,43.42003355186584,542.5236792851257
S05,6/18/2026,06:39:00,NA,NA,41.01269,-80.62428,NA,NA,6,1,<a href='https://www.allaboutbirds.org/guide/Acadian_Flycatcher' target='_blank'>Acadian Flycatcher</a><br><a href='https://www.allaboutbirds.org/guide/American_Goldfinch' target='_blank'>American Goldfinch</a><br><a href='https://www.allaboutbirds.org/guide/Downy_Woodpecker' target='_blank'>Downy Woodpecker</a><br><a href='https://www.allaboutbirds.org/guide/Hairy_Woodpecker' target='_blank'>Hairy Woodpecker</a><br><a href='https://www.allaboutbirds.org/guide/Northern_Cardinal' target='_blank'>Northern Cardinal</a><br><a href='https://www.allaboutbirds.org/guide/Red-bellied_Woodpecker' target='_blank'>Red-bellied Woodpecker</a>,61.458779737288175,590.7139193672032
S06,6/19/2026,07:45:00,NA,NA,41.01429,-80.62599,NA,NA,11,1,<a href='https://www.allaboutbirds.org/guide/Acadian_Flycatcher' target='_blank'>Acadian Flycatcher</a><br><a href='https://www.allaboutbirds.org/guide/American_Goldfinch' target='_blank'>American Goldfinch</a><br><a href='https://www.allaboutbirds.org/guide/Blue_Jay' target='_blank'>Blue Jay</a><br><a href='https://www.allaboutbirds.org/guide/Black-capped_Chickadee' target='_blank'>Chickadee Species.</a><br><a href='https://www.allaboutbirds.org/guide/Eastern_Bluebird' target='_blank'>Eastern Bluebird</a><br><a href='https://www.allaboutbirds.org/guide/Eastern_Wood-Pewee' target='_blank'>Eastern Wood-Pewee</a><br><a href='https://www.allaboutbirds.org/guide/Gray_Catbird' target='_blank'>Gray Catbird</a><br><a href='https://www.allaboutbirds.org/guide/Northern_Cardinal' target='_blank'>Northern Cardinal</a><br><a href='https://www.allaboutbirds.org/guide/Red-eyed_Vireo' target='_blank'>Red-eyed Vireo</a><br><a href='https://www.allaboutbirds.org/guide/Tufted_Titmouse' target='_blank'>Tufted Titmouse</a><br><a href='https://www.allaboutbirds.org/guide/White-breasted_Nuthatch' target='_blank'>White-breasted Nuthatch</a>,21.536258297915058,440.57546662673974
S07,6/19/2026,07:57:00,NA,NA,41.01538,-80.62909,NA,westmost; near I-680,4,0,<a href='https://www.allaboutbirds.org/guide/Acadian_Flycatcher' target='_blank'>Acadian Flycatcher</a><br><a href='https://www.allaboutbirds.org/guide/Downy_Woodpecker' target='_blank'>Downy Woodpecker</a><br><a href='https://www.allaboutbirds.org/guide/Eastern_Wood-Pewee' target='_blank'>Eastern Wood-Pewee</a><br><a href='https://www.allaboutbirds.org/guide/Red-eyed_Vireo' target='_blank'>Red-eyed Vireo</a>,3.5494676700499106,162.31556252572236
S08,6/20/2026,07:10:00,NA,NA,41.01742,-80.62918,NA,westmost; near I-680,2,0,<a href='https://www.allaboutbirds.org/guide/American_Goldfinch' target='_blank'>American Goldfinch</a><br><a href='https://www.allaboutbirds.org/guide/American_Robin' target='_blank'>American Robin</a>,144.5103038697209,84.34912743463772
S09,6/20/2026,07:20:00,NA,NA,41.01693,-80.625470000000007,NA,NA,11,0,<a href='https://www.allaboutbirds.org/guide/Acadian_Flycatcher' target='_blank'>Acadian Flycatcher</a><br><a href='https://www.allaboutbirds.org/guide/American_Goldfinch' target='_blank'>American Goldfinch</a><br><a href='https://www.allaboutbirds.org/guide/Black-capped_Chickadee' target='_blank'>Chickadee Species.</a><br><a href='https://www.allaboutbirds.org/guide/Downy_Woodpecker' target='_blank'>Downy Woodpecker</a><br><a href='https://www.allaboutbirds.org/guide/Eastern_Phoebe' target='_blank'>Eastern Phoebe</a><br><a href='https://www.allaboutbirds.org/guide/Eastern_Wood-Pewee' target='_blank'>Eastern Wood-Pewee</a><br><a href='https://www.allaboutbirds.org/guide/Red-eyed_Vireo' target='_blank'>Red-eyed Vireo</a><br><a href='https://www.allaboutbirds.org/guide/Scarlet_Tanager' target='_blank'>Scarlet Tanager</a><br><a href='https://www.allaboutbirds.org/guide/Tufted_Titmouse' target='_blank'>Tufted Titmouse</a><br><a href='https://www.allaboutbirds.org/guide/White-breasted_Nuthatch' target='_blank'>White-breasted Nuthatch</a><br><a href='https://www.allaboutbirds.org/guide/Wood_Thrush' target='_blank'>Wood Thrush</a>,39.27106225793999,388.0952595112655
S10,6/21/2026,06:00:00,NA,NA,41.01668,-80.62401,NA,NA,10,1,<a href='https://www.allaboutbirds.org/guide/Acadian_Flycatcher' target='_blank'>Acadian Flycatcher</a><br><a href='https://www.allaboutbirds.org/guide/American_Goldfinch' target='_blank'>American Goldfinch</a><br><a href='https://www.allaboutbirds.org/guide/American_Robin' target='_blank'>American Robin</a><br><a href='https://www.allaboutbirds.org/guide/Carolina_Wren' target='_blank'>Carolina Wren</a><br><a href='https://www.allaboutbirds.org/guide/Common_Grackle' target='_blank'>Common Grackle</a><br><a href='https://www.allaboutbirds.org/guide/Eastern_Bluebird' target='_blank'>Eastern Bluebird</a><br><a href='https://www.allaboutbirds.org/guide/Northern_Cardinal' target='_blank'>Northern Cardinal</a><br><a href='https://www.allaboutbirds.org/guide/Red-eyed_Vireo' target='_blank'>Red-eyed Vireo</a><br><a href='https://www.allaboutbirds.org/guide/Red-shouldered_Hawk' target='_blank'>Red-shouldered Hawk</a><br><a href='https://www.allaboutbirds.org/guide/Tufted_Titmouse' target='_blank'>Tufted Titmouse</a>,125.10468258412803,507.8093836324288
