session_id,species
S01,Scarlet Tanager
S01,Red-bellied Woodpecker
S01,American Crow
S01,Black-capped Chickadee
S01,Mourning Dove
S01,Carolina Wren
S01,Northern Cardinal
S01,Chipping Sparrow
S01,Tufted Titmouse
S01,American Robin
S02,Downy Woodpecker
S02,Black-capped Chickadee
S02,American Robin
S02,Brown Creeper
S02,Tufted Titmouse
S02,Acadian Flycatcher
S02,Eastern Wood-Pewee
S02,Northern Cardinal
S02,Scarlet Tanager
S02,Red-eyed Vireo
S03,American Goldfinch
S03,Northern Cardinal
S03,Eastern Wood-Pewee
S03,Yellow-throated Vireo
S03,Blue-headed Vireo
S03,Red-eyed Vireo
S03,Wood Thrush
S03,Acadian Flycatcher
S04,Tufted Titmouse
S04,American Goldfinch
S04,Eastern Wood-Pewee
S04,Acadian Flycatcher
S04,Red-eyed Vireo
S05,Hairy Woodpecker
S05,Downy Woodpecker
S05,Red-bellied Woodpecker
S05,American Goldfinch
S05,Northern Cardinal
S05,Acadian Flycatcher
S06,Eastern Bluebird
S06,Blue Jay
S06,Gray Catbird
S06,Acadian Flycatcher
S06,American Goldfinch
S06,Northern Cardinal
S06,Tufted Titmouse
S06,Black-capped Chickadee
S06,Eastern Wood-Pewee
S06,White-breasted Nuthatch
S06,Red-eyed Vireo
S07,Eastern Wood-Pewee
S07,Downy Woodpecker
S07,Acadian Flycatcher
S07,Red-eyed Vireo
S08,American Goldfinch
S08,American Robin
S09,Wood Thrush
S09,White-breasted Nuthatch
S09,Eastern Phoebe
S09,Downy Woodpecker
S09,Red-eyed Vireo
S09,Black-capped Chickadee
S09,Acadian Flycatcher
S09,American Goldfinch
S09,Tufted Titmouse
S09,Scarlet Tanager
S09,Eastern Wood-Pewee
S10,Common Grackle
S10,Red-shouldered Hawk
S10,Eastern Bluebird
S10,American Robin
S10,Red-eyed Vireo
S10,Tufted Titmouse
S10,Carolina Wren
S10,Acadian Flycatcher
S10,American Goldfinch
S10,Northern Cardinal
S11,Blue Jay
S11,American Robin
S11,American Goldfinch
S11,Carolina Chickadee
S11,Downy Woodpecker
S11,Red-shouldered Hawk
S11,Tufted Titmouse
S11,Carolina Wren
S11,Eastern Wood-Pewee
S11,Acadian Flycatcher
S11,Red-eyed Vireo
S11,Blue-gray Gnatcatcher
S11,Northern Cardinal
S11,Indigo Bunting
S11,Gray Catbird
S12,Tufted Titmouse
S12,Chipping Sparrow
S12,Common Grackle
S12,Red-eyed Vireo
S12,House Sparrow
S12,White-breasted Nuthatch
S12,Black-capped Chickadee
S12,Red-shouldered Hawk
S12,Northern Cardinal
S12,Blue Jay
S12,Gray Catbird
S12,Acadian Flycatcher
S12,American Robin
S12,Northern House Wren
S13,Red-winged Blackbird
S13,Red-eyed Vireo
S13,Carolina Wren
S13,Blue Jay
S13,Northern Cardinal
S13,Eastern Phoebe
S13,American Crow
S13,American Goldfinch
S13,Red-bellied Woodpecker
S13,Great Crested Flycatcher
S13,Red-headed Woodpecker
S13,Eastern Wood-Pewee
S14,Red-headed Woodpecker
S14,Tufted Titmouse
S14,Chimney Swift
S14,Northern Cardinal
S14,Blue Jay
S14,Acadian Flycatcher
S14,Great Crested Flycatcher
S14,Hairy Woodpecker
S14,Eastern Bluebird
S14,White-breasted Nuthatch
S14,Red-eyed Vireo
S14,Scarlet Tanager
S15,Ruby-throated Hummingbird
S15,Blue Jay
S15,American Crow
S15,Blue-gray Gnatcatcher
S15,Red-bellied Woodpecker
S15,Acadian Flycatcher
S15,Red-eyed Vireo
S15,Northern Cardinal
S15,Carolina Wren
S15,Tufted Titmouse
